,A549_5.Azacytidine_0nM_2h,HOP.62_5.Azacytidine_0nM_2h,HOP.92_5.Azacytidine_0nM_2h,NCI.H23_5.Azacytidine_0nM_2h,NCI.H322M_5.Azacytidine_0nM_2h,A549_5.Azacytidine_0nM_6h,HOP.62_5.Azacytidine_0nM_6h,HOP.92_5.Azacytidine_0nM_6h,NCI.H23_5.Azacytidine_0nM_6h,NCI.H322M_5.Azacytidine_0nM_6h,NCI.H460_5.Azacytidine_0nM_6h,A549_5.Azacytidine_0nM_24h,HOP.92_5.Azacytidine_0nM_24h,NCI.H23_5.Azacytidine_0nM_24h
cell,A549,HOP-62,HOP-92,NCI-H23,NCI-H322M,A549,HOP-62,HOP-92,NCI-H23,NCI-H322M,NCI-H460,A549,HOP-92,NCI-H23
drug,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine
FTL,13.01757,13.13331,12.76495,12.86416,12.73097,13.09886,13.10533,12.82131,12.85564,12.72979,12.73265,13.08869,12.8754,12.93175
TMSB10,13.22809,13.70486,13.61749,11.80121,13.15828,13.37561,13.72593,13.6746,11.76215,13.21678,13.50988,13.2334,13.5162,11.82548
ACTB,12.83994,13.45812,13.40811,12.77455,13.25898,13.50817,13.40914,13.50516,12.80976,13.32845,13.41314,13.26154,13.43869,12.85007
S100A6,13.18831,12.389399,12.790964,7.417162,11.275873,13.077149,12.408406,12.797479,6.876645,11.277438,13.109161,13.000217,11.772875,6.466795
ACTG1,13.25113,13.36066,13.30255,12.75681,13.39768,13.27888,13.36366,13.30983,12.78514,13.38089,13.24917,13.2328,13.05509,12.76228
TMSB4X,12.87034,13.0898,13.3931,12.85938,12.95483,12.67832,13.10137,13.30564,12.87161,12.97084,12.38558,12.50741,12.69558,12.89632
CD74,6.606836,5.019947,4.560509,4.438311,6.428152,6.269531,4.843561,4.608399,4.022752,6.208844,4.391362,6.619809,5.462251,5.032036
HLA-DRA,4.134799,4.111434,3.848473,4.037313,4.749788,4.121655,4.407774,4.026828,4.035945,4.437747,4.185077,4.271842,4.290747,4.075556
SFTPB,4.899748,4.914189,4.566379,4.332466,4.538587,4.75896,4.630986,4.620112,4.570563,4.187779,4.793776,4.343046,4.568254,4.981239
RPS12,13.22941,12.88458,13.001,13.22977,13.11109,13.17766,12.91597,13.06143,13.2171,13.10115,13.11309,13.07399,13.02951,13.20238
B2M,12.89582,12.39424,11.85587,12.23899,12.5502,12.67103,12.42874,11.82819,12.26329,12.55462,12.52106,12.63326,10.40113,12.13555
IGKC,4.555883,4.419405,4.091064,4.189928,4.027493,4.187122,4.134465,3.913096,4.178706,3.933573,4.157179,4.182668,4.202427,4.385365
S100A11,12.079597,11.780894,12.456855,9.332867,11.369031,11.788232,11.811918,12.42486,9.373717,11.515553,12.417575,11.638598,11.062982,9.511229
RPS11,13.34845,13.26159,13.00996,13.4162,13.43974,13.0363,13.28503,12.96098,13.41875,13.39419,13.46547,12.58639,13.2711,13.38581
EEF1A1,13.30285,13.45779,13.60772,13.53234,13.47613,13.33585,13.44913,13.54861,13.59044,13.4499,13.48444,13.35638,13.61977,13.56501
RPS18,13.71205,13.56824,13.38042,13.66822,13.44797,13.61605,13.56409,13.35208,13.58006,13.49368,13.36502,13.6405,13.70114,13.68192
RPL8,11.75132,13.12407,13.64737,12.84584,12.89562,12.7127,13.11983,13.66261,12.96962,12.98104,13.47536,12.69308,13.56789,13.02059
HLA-B,7.902587,9.338938,9.704656,5.018387,9.471416,9.963247,9.288794,9.707903,4.548984,9.427581,8.00578,10.394112,9.927401,5.496186
RPS27,13.66568,13.20904,13.29844,13.19371,13.19619,13.40108,13.20425,13.24464,13.15705,13.17254,13.22572,13.45302,13.07263,13.17329
PSAP,8.661287,8.298286,9.854236,8.820479,10.42844,10.70745,8.285763,9.946684,8.72769,10.292446,9.190534,11.065161,8.346319,8.654325
GAPDH,12.31786,13.24699,13.48963,12.76811,13.22227,13.20432,13.2431,13.5372,12.89082,13.3072,13.36837,13.43706,13.44431,12.8176
RPL13A,10.80835,11.89004,11.20365,11.88868,11.21824,10.61931,11.98091,11.10402,12.009,11.33019,12.10578,10.68709,11.96173,11.89951
HLA-A,12.028067,11.042659,10.967181,4.772422,11.826265,12.181039,11.237651,10.918695,6.431646,11.844616,7.89509,12.274114,11.244498,7.197506
HLA-C,10.884516,11.030832,11.018215,5.635799,10.932836,10.805632,11.060445,11.025545,4.755956,10.956116,9.00378,11.019262,11.402855,5.720392
RPS6,12.64392,12.50864,12.24451,12.84693,12.5524,12.52297,12.63873,12.2227,12.7223,12.49587,12.86257,12.43096,12.91081,12.72546
CTSD,5.695465,6.169686,5.680192,4.792596,7.456725,7.446661,5.88287,5.814323,5.287475,7.413954,7.875063,8.485012,5.686259,5.175133
EEF2,10.83268,11.48052,12.16827,12.21472,12.19586,11.75432,11.40871,12.27845,12.31893,12.02783,12.48255,12.00011,12.43073,12.30908
HSP90AB1,11.81327,12.82159,12.7923,12.77779,12.45929,12.46377,12.7261,12.79452,12.68453,12.42151,12.7756,12.70467,12.6825,12.81209
IGHG1,4.51782,4.198118,4.127249,3.980386,4.170649,3.92797,4.143432,4.071428,4.078547,4.07811,4.381042,4.43042,4.105024,4.310423
TAGLN2,10.375102,10.671744,11.514846,10.746641,9.987502,10.817725,10.76696,11.632028,10.717967,10.091694,10.987318,10.427626,11.182169,10.843002
ENO1,9.491607,12.605199,12.208483,12.312746,12.945994,10.771674,12.619746,12.24434,12.275328,12.874066,12.320104,10.789525,12.593912,12.250239
CALR,5.012148,7.209225,6.139584,6.65797,6.988384,6.066933,7.123281,6.22471,6.448653,7.037396,7.019416,7.467504,6.209912,6.600333
SFTPA2,4.390641,4.185402,3.97294,4.148051,4.149844,4.200741,3.900578,4.057728,4.254567,4.158739,4.103943,4.161508,4.197628,4.509788
TPT1,13.6596,13.10701,13.1546,13.09327,13.08638,13.40432,13.11882,13.11514,13.14152,13.12497,13.39925,13.43767,13.34431,13.07817
RPL19,13.46498,13.18438,13.20108,13.42085,13.3598,13.29248,13.2116,13.20242,13.31661,13.27406,13.24583,13.18137,13.21967,13.38492
RPS4X,13.17885,13.26201,13.30012,13.21125,13.24155,13.21175,13.2419,13.28668,13.23025,13.26079,13.19902,13.08137,13.09813,13.28101
RPL7A,12.99866,12.98386,13.13434,13.29534,13.02224,13.1034,12.98877,13.10661,13.33954,13.04902,13.2875,13.02942,13.35541,13.23378
RPL10A,12.35093,12.37743,12.22706,12.70836,12.16827,12.26236,12.38692,12.2514,12.59441,12.21466,12.62376,11.98237,12.56758,12.59591
RPL11,12.5426,12.80857,12.5394,12.96994,13.08118,12.40855,12.93889,12.54316,12.9358,13.04543,12.8363,12.08143,12.7924,12.79567
RPL3,12.55466,12.71344,12.9326,12.79759,12.93943,12.76853,12.6674,12.87973,12.91775,12.90874,13.06587,12.79462,12.96713,12.91831
CD63,13.15513,11.931827,11.625072,11.469467,13.101743,13.077652,11.953789,11.517252,11.403929,13.127423,11.282111,13.208474,11.901788,11.325315
RPS8,12.43674,12.38143,12.0072,12.5188,12.27302,12.0697,12.41464,12.0687,12.37537,12.27061,12.36832,12.11073,12.42877,12.46035
RPLP1,13.73805,13.20955,13.44641,13.40095,13.45764,13.62243,13.1873,13.41847,13.41319,13.39677,13.34813,13.59472,13.43921,13.41067
GSTP1,10.068462,10.597293,12.035145,10.905534,11.133933,10.463893,10.638231,12.184054,11.021785,11.188341,6.078724,10.809496,11.224096,11.121351
IFITM3,9.461187,12.292291,10.618867,10.000992,9.637872,10.261649,12.271929,10.704094,9.495728,9.546044,4.950574,10.549619,12.029996,9.628719
RPS21,13.26561,13.20017,13.3883,13.22113,13.22137,13.14907,13.1855,13.39491,13.25176,13.20542,13.30585,13.05872,13.26753,13.1849
RPS2,13.10514,13.51135,13.45117,13.3806,13.32901,13.46104,13.54133,13.40591,13.35673,13.34797,13.47972,13.55585,13.53621,13.45778
SLPI,4.003157,5.041071,6.383223,5.071805,4.604057,4.595666,5.215139,6.000493,4.882606,4.480647,5.483674,4.902407,5.837621,4.450747
CEACAM6,4.407214,3.99394,3.895525,3.959828,3.969167,4.048274,4.136755,4.027892,4.264423,3.887868,6.846835,4.300484,4.047193,3.775022
HLA-E,7.674288,7.308377,7.019969,6.070867,7.647995,7.792766,7.383634,7.247363,5.8681,7.914582,6.27956,7.218715,7.741369,6.017333
