,A549_5.Azacytidine_1000nM_2h,HOP.62_5.Azacytidine_1000nM_2h,HOP.92_5.Azacytidine_1000nM_2h,NCI.H23_5.Azacytidine_1000nM_2h,NCI.H322M_5.Azacytidine_1000nM_2h,A549_5.Azacytidine_1000nM_6h,HOP.62_5.Azacytidine_1000nM_6h,HOP.92_5.Azacytidine_1000nM_6h,NCI.H23_5.Azacytidine_1000nM_6h,NCI.H322M_5.Azacytidine_1000nM_6h,NCI.H460_5.Azacytidine_1000nM_6h,A549_5.Azacytidine_1000nM_24h,HOP.92_5.Azacytidine_1000nM_24h,NCI.H23_5.Azacytidine_1000nM_24h
cell,A549,HOP-62,HOP-92,NCI-H23,NCI-H322M,A549,HOP-62,HOP-92,NCI-H23,NCI-H322M,NCI-H460,A549,HOP-92,NCI-H23
drug,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine,5-Azacytidine
FTL,13.00624,13.16659,12.74192,12.89812,12.77999,13.08227,13.08747,12.78831,12.88582,12.7863,12.7537,13.1552,12.91891,13.17133
TMSB10,13.28716,13.6969,13.63488,11.72145,13.28775,13.37347,13.68696,13.68811,11.80337,13.29856,13.56623,13.26487,13.39544,12.62683
ACTB,13.41147,13.40017,13.40413,12.83261,13.34021,13.48341,13.42233,13.40243,12.85801,13.34789,13.4129,13.20311,13.37636,13.07976
S100A6,13.04561,12.442479,12.823168,7.010845,11.469857,13.048101,12.370133,12.856171,6.799489,11.430341,13.254721,13.226427,12.03029,6.325962
ACTG1,13.27872,13.41584,13.23068,12.89997,13.37526,13.26097,13.38973,13.30173,12.88296,13.37602,13.10836,13.27378,13.12391,13.13796
TMSB4X,12.78058,13.14364,13.39522,12.8121,12.95529,12.79173,13.14042,13.40996,12.88366,12.89299,12.44423,12.6123,12.49305,13.13044
CD74,6.800201,4.555669,4.357438,4.327595,6.26151,5.858774,5.040675,4.590352,4.131587,6.485667,4.717885,5.788356,4.897852,4.200529
HLA-DRA,3.794858,4.168852,3.78959,3.886536,4.346349,4.320811,4.257983,3.942329,3.886233,4.669854,4.187727,4.509941,3.917905,4.049875
SFTPB,4.818001,4.87484,4.270582,4.462865,4.295446,4.456916,4.556417,4.243001,4.691554,4.609498,4.783368,4.285811,4.76056,4.917161
RPS12,13.16845,12.9201,13.06449,13.19224,13.11452,13.16747,12.94329,13.07086,13.22452,13.08854,13.16397,13.10615,13.04105,13.28094
B2M,12.835024,12.469875,11.87498,12.348247,12.516784,12.738641,12.428177,11.860823,12.31097,12.457603,12.736474,12.802472,10.38509,12.401487
IGKC,4.581716,4.174138,4.069344,4.322699,4.113558,4.290479,4.118295,4.052947,4.096681,4.047009,4.279126,4.099456,4.115137,5.050221
S100A11,12.09956,11.725358,12.558402,9.398458,11.605283,11.804406,11.684681,12.577901,9.403184,11.640252,12.413248,11.95441,10.981032,10.218319
RPS11,13.33403,13.23285,13.11813,13.42959,13.43824,13.11174,13.28021,13.05144,13.43303,13.42384,13.39961,12.44431,13.30558,13.41179
EEF1A1,13.30322,13.41746,13.45076,13.55806,13.45326,13.36405,13.43356,13.52426,13.56781,13.47214,13.47695,13.34126,13.53874,13.61054
RPS18,13.73472,13.54176,13.39526,13.60913,13.49226,13.64627,13.60006,13.43415,13.64282,13.48855,13.35713,13.67862,13.62031,13.67625
RPL8,12.12901,13.03934,13.62002,13.03303,12.90685,12.5512,13.09046,13.67463,13.03155,12.96079,13.45804,12.75262,13.6163,13.09486
HLA-B,8.543961,9.205205,9.637545,4.794006,9.465862,9.790668,9.239199,9.533779,5.332182,9.462448,8.030945,10.413892,9.47957,5.278599
RPS27,13.60502,13.2569,13.33076,13.16725,13.21,13.47772,13.23693,13.34725,13.21961,13.1735,13.284,13.56909,13.09607,13.25825
PSAP,9.075642,8.298448,10.021631,8.830374,10.393518,10.711638,8.264105,9.86427,8.690768,10.40072,9.258438,11.281518,8.484783,8.855221
GAPDH,12.74588,13.19426,13.41355,12.87144,13.26704,13.17392,13.21147,13.52021,12.91126,13.3094,13.40992,13.30697,13.32001,12.6396
RPL13A,10.75905,11.75291,11.08175,11.91724,11.31628,10.70407,11.99756,11.2624,12.00448,11.46252,12.22909,10.84029,12.18238,12.36826
HLA-A,12.099282,11.142359,11.047492,5.474151,11.990617,12.099845,11.151132,11.078559,6.39445,11.889627,8.228734,12.265011,11.252479,6.962511
HLA-C,10.843385,11.02146,11.106293,4.919966,11.082384,10.787841,11.082088,11.02607,5.426491,11.130999,8.975535,11.138436,11.140181,5.808665
RPS6,12.68995,12.54504,12.17512,12.73109,12.58305,12.58484,12.64279,12.35076,12.79905,12.47444,12.87924,12.66719,12.83028,12.71941
CTSD,6.203239,6.037518,6.218008,5.563874,7.736092,7.081759,5.902735,5.952866,5.103083,7.672501,8.170081,8.540579,5.987115,5.065121
EEF2,11.06921,11.35215,12.17425,12.2842,12.27044,11.71307,11.35076,12.34671,12.36086,12.21645,12.74018,12.15622,12.58316,12.50944
HSP90AB1,12.025723,12.767975,12.759296,12.752287,12.499934,12.415477,12.681177,12.709885,12.752618,12.441859,12.774512,12.734994,12.768016,12.459379
IGHG1,4.254452,4.099256,3.979915,3.943683,4.329429,3.986023,4.18589,4.19134,5.694842,4.144461,4.185475,3.709809,4.202828,4.040067
TAGLN2,10.628745,10.657252,11.627884,10.73235,10.029624,10.673397,10.632563,11.552528,10.791304,10.098471,10.864497,10.250289,11.010116,10.893991
ENO1,10.30196,12.53228,12.25841,12.38078,12.92651,10.85246,12.58164,12.28699,12.38028,12.91083,12.414,11.18503,12.3614,12.28943
CALR,4.767753,7.004815,6.417069,6.804909,7.048034,6.156581,7.009975,6.351365,6.269432,7.118094,7.057505,7.274999,5.802905,6.323632
SFTPA2,4.376713,4.012205,3.675595,3.784863,4.084299,4.051995,3.876476,3.909809,3.98604,4.182588,4.043115,4.030824,3.818717,4.105221
TPT1,13.48391,13.11791,13.15891,13.08483,13.07975,13.52398,13.11321,13.19053,13.12759,13.04308,13.44938,13.48028,13.38092,13.19004
RPL19,13.45381,13.09396,13.21003,13.3548,13.38215,13.3021,13.16744,13.24241,13.358,13.35265,13.30158,13.18361,13.22575,13.36084
RPS4X,13.23834,13.27278,13.27795,13.22728,13.25532,13.16828,13.27128,13.29278,13.28593,13.24506,13.14705,13.12439,13.084,13.26863
RPL7A,12.97849,12.93521,13.16058,13.32338,13.03908,13.03863,13.00875,13.2001,13.29766,13.05121,13.28795,13.07459,13.35547,13.34363
RPL10A,12.39398,12.21778,12.23235,12.60806,12.24627,12.35102,12.39389,12.30693,12.61749,12.25976,12.60648,12.19517,12.55618,12.67762
RPL11,12.53468,12.87558,12.58348,12.92685,13.12946,12.44215,12.90807,12.67651,12.96349,13.01438,12.93465,12.15432,12.75098,12.87289
RPL3,12.68056,12.59838,12.84205,12.90101,12.97345,12.62707,12.61269,12.85591,12.89439,12.97477,13.02297,12.73957,13.01634,13.03182
CD63,13.035413,12.077224,11.486132,11.510891,13.06511,13.051098,11.975919,11.558725,11.550379,13.045445,11.397498,13.279502,11.725551,11.55449
RPS8,12.37936,12.35028,11.94779,12.45183,12.2821,12.19575,12.44612,12.13522,12.48275,12.27424,12.47675,12.30315,12.36625,12.54144
RPLP1,13.64256,13.18808,13.38522,13.43826,13.43686,13.63921,13.17931,13.45402,13.45876,13.44163,13.41427,13.6893,13.37147,13.4745
GSTP1,10.196696,10.521618,12.144053,11.052782,11.274921,10.602883,10.603124,12.214569,11.187029,11.228579,5.746983,11.162685,11.059433,10.975305
IFITM3,9.690658,12.175209,10.696393,10.449989,9.648457,10.104441,12.246086,10.726631,10.159545,9.468762,5.091364,10.457614,11.468297,9.967349
RPS21,13.24831,13.12977,13.40058,13.19614,13.25165,13.14233,13.19126,13.44493,13.23542,13.23489,13.27882,13.07126,13.21,13.18438
RPS2,13.22219,13.51861,13.39355,13.36805,13.3985,13.48537,13.56307,13.41249,13.48011,13.36698,13.4685,13.54531,13.46762,13.47043
SLPI,4.873092,4.930743,6.09845,4.70462,4.61501,4.447823,4.997083,6.153918,4.707949,4.57084,5.731696,4.852364,5.918262,5.046998
CEACAM6,4.057527,4.052123,3.802703,3.871548,3.914033,4.059316,4.104629,4.092059,4.409976,4.240383,6.864709,4.167652,3.905996,4.030954
HLA-E,7.665637,7.284357,7.062277,5.715169,7.884155,7.827258,7.415847,7.427927,5.929519,7.898138,6.782837,7.575711,8.187831,6.170973
